id,sentence1,label
0,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,optimism
1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,anger
2,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,joy
3,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",anger
4,it's pretty depressing when u hit pan on ur favourite highlighter,sadness
5,@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,anger
6,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness
7,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,joy
8,@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
9,@user Look at those teef! #growl,anger
10,@user @user USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,anger
11,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting #terror into India,sadness
12,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,anger
13,What a fucking muppet.  @user  #stalker.,anger
14,Autocorrect changes ''em' to 'me' which I resent greatly,anger
15,@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,anger
16,@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,anger
17,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,optimism
18,@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,optimism
19,@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,anger
20,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,optimism
21,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",sadness
22,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",anger
23,@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,anger
24,@user @user nah way that's horrible,anger
25,@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,anger
26,angel delight is my everything,joy
27,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger
28,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,joy
29,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
30,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,joy
31,"Jorge deserves it, honestly. He's weak.  #90dayfiance",anger
32,@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger
33,@user @user ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,joy
34,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",anger
35,Manchester derby at home,joy
36,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",anger
37,her; i want a playful relationship\nme; *kicks her off the couch*,joy
38,Romero is fucking dreadful like seriously my 11 month old is better than him.,anger
39,"@user It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",anger
40,@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,sadness
41,so gutted i dropped one of my earrings down the sink at school,sadness
42,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",joy
43,“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,optimism
44,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user",joy
45,I'm so bored and fat and full and ridiculously overweight and rolls galore,sadness
46,"@user Flirt, simper, pout, repeat. Yuck.",anger
47,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",anger
48,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @user will know,anger
49,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
50,Nor hell a fury like a woman scorned -- William Congreve,anger
51,@user Tried 2 get earlier flt 2day  @user Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind,sadness
52,"@user I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sadness
53,"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",joy
54,@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,joy
55,@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,anger
56,Thank you disney themed episode for letting me discover how amazing the @user are! #hilarious,joy
57,Need a new outlet for #rage,anger
58,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,joy
59,@user @user wow. not heard this in forever. Random but. great #sting #xph,joy
60,May the optimism of tomorrow be your foundation for today.,optimism
61,"@user @user @user \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",anger
62,@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,anger
63,"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",joy
64,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",sadness
65,People who go the speed limit irritate me,anger
66,#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,joy
67,@user @user ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,anger
68,My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,sadness
69,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,anger
70,@user I am shy xD,sadness
71,After what just happened. In need to smoke.,anger
72,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
73,"@user I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",joy
74,@user so this houses will get into my instestines and scare my poop and I'll shit my pants?,anger
