id,sentence1,label
0,@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,not-hate
1,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,hate
2,@user @user real talk do you have eyes or were they gouged out by a rapefugee?,hate
3,your girlfriend lookin at me like a groupie in this bitch!,hate
4,Hysterical woman like @user,not-hate
5,Me flirting- So tell me about your father...,not-hate
6,"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...",not-hate
7,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,hate
8,When cuffin season is finally over,not-hate
9,"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",hate
10,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",hate
11,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,not-hate
12,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,hate
13,More migrants take sea route to #Spain than Italy this year: UN,not-hate
14,"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.",not-hate
15,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",hate
16,RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,not-hate
17,"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.",not-hate
18,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,hate
19,@user @user keep calling her a bitch and a whore dude real grown up.,hate
20,"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",hate
21,"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",hate
22,"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",hate
23,An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,not-hate
24,@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!,not-hate
25,"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch",hate
26,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",not-hate
27,@user Not all men are animals. You Libs want muslims to come over still? Better pick a side.,not-hate
28,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user",not-hate
29,This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe,hate
30,@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,hate
31,Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user,not-hate
32,Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:,not-hate
33,@user Are you pussy grabbing tonight??,not-hate
34,"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly",not-hate
35,I've been called a son of a whore and a cunt today already. It's not even 1 yet,not-hate
36,"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’",not-hate
37,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?",not-hate
38,masturbate intensive for that whore slut,not-hate
39,The Truth about #Immigration,not-hate
40,@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising,hate
41,"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries",hate
42,Lebanese Christian victim of a quarrel between Syrian refugees carrying knives &amp; cleavers in Lebanon,not-hate
43,"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 #ResistICENashville photo: Julie Henry",not-hate
44,I wonder is this is where Caitlyn gets his car services 🌚,not-hate
45,"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",hate
46,Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases,not-hate
47,Because some women are stupid,hate
48,@user BITCH TEXT ME,hate
49,"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#",hate
50,"@user RT @user Don't betray Your #Voters on #Immigration. #Americans, #WeThePeople, & the #USA reject #DACA, #Amnesty, the #DreamAct, & all #illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & #DACA immigr",hate
51,@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA,hate
52,What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel.,hate
53,No matter what color a girl is she still a ho 😂😂,hate
54,"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks,",not-hate
55,#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion,not-hate
56,"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns",not-hate
57,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr",hate
58,"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov",not-hate
59,"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....#sendthemback it's not late to save Europe",hate
60,NEVERRRRRRRRRRR,not-hate
61,"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate. #SourcesMatter",not-hate
62,And now another flood of immigrants coming our way.#BuildThatWall,hate
63,Nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag. #WakeUpYouWhore,hate
64,Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z,not-hate
65,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune,not-hate
66,@user @user @user Don't dare to tell us about Syrian refugees.,not-hate
67,"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive.",hate
68,This is what Trump supporters call humane smh,not-hate
69,MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t…,hate
70,"#OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder &amp; executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either. #NationalistsNotWelcome",not-hate
71,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders",not-hate
72,@user good girl,not-hate
73,you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹,hate
74,Don't you hate how girls just Whore around because they never got daddy's attention ?? And so they have to interfere in relationships.. hoe,hate
75,"@user Greedy, you have to talk about this tomorrow including the hysterical responses.",not-hate
76,@user Wow!! Never seen a woman juggle a big cock like that,hate
77,"Fuck you, you hoe I don’t want you back",hate
78,@user Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws. #BuildThatWall #kag,hate
79,@user You are the sloppy queen of sucking cock,hate
80,World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž,not-hate
81,"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!",hate
82,@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest…,hate
83,From refugee to sole survivor - How one Syrian has become shoemaker to the famous,not-hate
84,"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl",hate
85,"When you're sneaking in after a long, hard night of cheating and don't wanna wake your girl cause you're a good guy",not-hate
86,"@user sweetie, how the hell can you take “oh my god that’s a DICK?!?!?!?!” Style monologue",not-hate
87,"Absolutely perfect keep the whole lot of Illegal Aliens out, now maybe libtarded snowflakes will be happy they are not being split up? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall",hate
88,Hundreds of Syrian refugees return home from Lebanon - ABC News,not-hate
89,"VIDEO: Immigrant activist who climbed Statue of Liberty has a new song: ""America, you motherfuckers,...",not-hate
90,Turkish government must immediately take precautions to protect it's borders and find solution for the trouble in Syria or else Turkey will be a refugee storage in the near future and this is a big threat for our survival #nomorerefugees,hate
91,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal...",hate
92,RT @user I bet a lot of people's therapists are dying to meet me just to see if the stories are true.,not-hate
93,HOLLERINGGGGGGG. stupid baby bitch.,hate
94,a bitch in which I find attractive can take her sock off and my dick will suddenly become hard as shit ..,hate
95,RT @user 'You miss 100% of the shots you don't take.' -- Wayne Gretzky,not-hate
96,"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer",not-hate
97,How much is John McCains funeral costing tax payers? Not including his no vote to scrap Obamacare. Next time use our hard earned money for something useful like building the wall!!#BuildThatWall#McCainFuneral #Baloney,hate
98,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..,hate
99,Syrian activist alleges UN gave Rakban camp refugee children expired sweets,not-hate
100,"@user I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise",hate
101,@user List fails without '50 Things To Think About To Stop You Doing Your Beans' by Kunt and the Gang,not-hate
102,"SWEDEN Dentist fined nearly $50,000 for revealing that many adult Muslim migrants are posing as 'unaccompanied refugee children' via @user Swedenstan update...",not-hate
103,"The US bill is an illegal endeavour and cannot impact the current situation. It is a part of the “deal of the century” which aims to revoke the Palestinian refugees’ right of return and works hand in hand with the Israeli racist Nation State Law,",not-hate
