id,sentence1,label
0,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,irony
1,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",non_irony
2,Now I remember why I buy books online @user #servicewithasmile,irony
3,@user @user So is he banded from wearing the clothes?  #Karma,irony
4,Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,irony
5,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",irony
6,@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,non_irony
7,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,irony
8,Halfway thorough my workday ... Woooo,irony
9,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,irony
10,I forked node!  Get ready for the future.  (Where's my interviews),non_irony
11,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",non_irony
12,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",irony
13,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,irony
14,@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,non_irony
15,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",non_irony
16,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,irony
17,Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,non_irony
18,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,irony
19,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,non_irony
20,Need to get back in to college..  #feeling #this,non_irony
21,No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,non_irony
22,Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,non_irony
23,@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,irony
24,I refuse to be weak... #workout #motivation #fitfam,non_irony
25,Why YES! Of course I use  a lot in my day....because violence is illegal.,irony
26,@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,irony
27,I hate plane rides but I wanna go to so many different countries,irony
28,Stop being the fan. And be the person blowing minds.,irony
29,Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,irony
30,I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,non_irony
31,"@user Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",irony
32,Love that I still have kids that still wake up early on Christmas  #justkiddingIlovethem,irony
33,That moment when you have so much stuff to do but you open @user ... #productivity  #tumblr,irony
34,Oh god I just so happens that i love really LOVE slow internet #slowinternet,irony
35,Simply having a wonderful christmas time :D,non_irony
36,isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,irony
37,Breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove  #a #good #idea #butscheming doe,non_irony
38,Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml,irony
39,#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends,non_irony
40,"@user @user you don't know a damned thing about baseball, do you?",non_irony
41,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!",irony
42,All I can say is I'm lucky.,non_irony
43,"#notcies #eu Liverpool workers ""miscarriage of justice"" victims",non_irony
44,"@user yesss! What makes it worse is when they look gorgeous and say ""I just got my face beat!"" Wtf?  #Contradiction",irony
45,Xmas on the blog feat @user and @user * Read our story and share the LOVE ❤️ Click the link...,non_irony
46,"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.",irony
47,This is not the moon. Pictures like the moon is made of light bulbs.  #the #moon :),non_irony
48,I got ready and then got to school and parked in less than 12 minutes! #miracle,non_irony
49,"@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",irony
50,I don't like clowns but I'm going to be one.,irony
51,MLS Transactions 2015 #MLS making waves again   2 b fair it will take more than 2 players to fix this,irony
52,@user I'll be a bit sweaty by the time I get to you!,non_irony
53,a bad game last night. Way to go Packers!,non_irony
54,I hope I could recover from fever today. I need to start with strama..,non_irony
55,"somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka",non_irony
56,The Champions League is overrated anyway!,irony
57,Porygon2 are  found in the www.monstermmorpg. com wild. #firemen follow @user #paint,non_irony
58,@user are you looking at the wrong profile picture?,non_irony
59,@user One day I want to travel with my bestfriend 🌏✈️ DONE DID TRAVELED DA WORLD!! @user ❤️,non_irony
60,@user u simply cant win with @user if it is twitter fight!!! :-P,non_irony
61,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,irony
62,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. via @user,non_irony
63,ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session,non_irony
64,Gareth's polar opposite is a chicken-loving vegetarian 😂🐣  #Bones @user,irony
65,Watching creepy shit before bed when alone = bad idea. Is there a spell to turn a French bulldog into a big ass bulldog? #bewareofdog,irony
66,i do occupy rent free space in his cranial cavity LOL @user,non_irony
67,Had to take a #PatioPics - snow falling still. This was totally clear when I went to sleep. #WCCO,non_irony
68,"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26",non_irony
69,Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,non_irony
70,My husband thinks I'm crazy because I taped my tape dispenser. Hehe. I'm handy like that. ....,irony
71,My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup,irony
72,"Tomorrow's afternoon #NFL sked in #PanamaCity area: WECP 12p #KCvsPIT, 3:25p #INDvsDAL; WPGX 12p #ATLvsNO.",non_irony
73,@user @user I sure hope ev1 vaccinations are up to date! #GoBolts @user @user @user,non_irony
74,Pulis turned down #NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA. #cpfc,non_irony
75,Sending best wishes to all my coworkers at the 9AM this morning,irony
76,@user try having no internet for a month. Now I know how Ethiopians feel.,irony
77,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that  #retweet#ifagree",irony
78,Thanks @user for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,non_irony
79,Seems as if @user wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd?,non_irony
80,Love being made fun of,irony
81,@user @user @user Oh wow your talking Skype! Cool!,irony
82,"he was half of what she deserved, yet he was all that she ever wanted ,,,,",irony
83,#Christmas  #been #the #best @ West Monkseaton,non_irony
84,Parking meter obviously forgot to get its own parking ticket.,irony
85,About to fuck up this Media exam  #actuallyihopeso,irony
86,well today is gonna be a great day 👌,irony
87,Heaven help the fool who did her wrong,non_irony
88,"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!",non_irony
