id,sentence1,domain,label
0,we remind ourselves that love means to be willing to give until it hurts - Mother Teresa,abortion,against
1,"@user @user and most Islanders have different definitions of ""timely access"". #irony #peipoli #peivotes",abortion,none
2,"Life is #precious & so are babies, mothers, & fathers. Please support the sanctity of Human Life. Think #SemST",abortion,against
3,@user too many people are taking this to seriously #SemST,abortion,none
4,Dude i won a #freeshirt from @user ! I never win anything lol #Abort73 #SemST,abortion,none
5,Like ya'll can try and push your views on me anyway but I will remain #SemST,abortion,none
6,Just because it is legal doesn't make it God honoring #SameSexMarriage #180themovie #AudacityMovie #SemST,abortion,none
7,@user maybe that's what he wants #SemST,abortion,none
8,If being in a mother's womb isn't safe I guess neither are churches; specifically black ones #WhoIsBurningBlackChurches #SemST,abortion,against
9,"@user @user Nothing to do with me.  It's not my choice, nor is it yours, to dictate what another woman chooses. #feminism #SemST",abortion,favor
10,So ready for my abortion debate  #SemST,abortion,none
11,@user @user @user Yup. One of the MANY reasons I changed parties. #SemST,abortion,none
12,@user  Rock on girl!  We all know #AbortionIsMurder.   #SemST,abortion,against
13,it's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of #SemST,abortion,against
14,WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs? #PJNET #SemST,abortion,against
15,"@user No. It's absurd to refer to healthcare that saves pregnant people's lives as ""killing. #SemST",abortion,favor
16,Joining us in studio is Amos and Josh on Music and Career with Kobi Kihara #Bands #SemST,abortion,none
17,@user They abort millions of their possible progressives for the future. #Downfall #SemST,abortion,against
18,"'Cursed be anyone who takes a bribe to shed innocent blood.' And all the people shall say, 'Amen.'  Deuteronomy 27:25 #dropsmic #SemST",abortion,against
19,"Does a #pregnant #woman have 2 heads, 2 hearts, 4 arms, and 4 legs? #prolifeyouth #prolifegen #didntthinkso #SemST",abortion,against
20,"@user He's not concerned about women's health, it's all about control. Stay outta my lady parts, Mr. Patrick! #SemST",abortion,favor
21,@user Pray?? You want me to PRAY that abortions and dangerous facilities remain unchecked?? #facepalm #SemST,abortion,against
22,@user defunding PP won't mean fewer abortions. It will mean more dead women. #SemST,abortion,favor
23,"How dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't. #liberalism #SemST",abortion,against
24,"A pregnancy, planned or unplanned, brings spouses,families & everyone closer to each other. #Life is beautiful! #USA #SemST",abortion,against
